player_id,hero,hero_name,hero_image,start_time,end_time,duration_min,placement,game_result,rating,rating_after,rating_delta,minions,minions_count,minions_list,minion_types,minion_images
144115198130930503_29190944,TB_BaconShop_HERO_75,Rakanishu,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/TB_BaconShop_HERO_75.png,2025-10-15T21:24:13.0906049+02:00,2025-10-15T21:59:39.2740842+02:00,35.4,1,win,1152,1452,300,BG21_015_G;BG25_040;BG33_245;BG29_813;BG33_245;BG32_822;BG28_597_G,1,BG21_015_G;BG25_040;BG33_245;BG29_813;BG33_245;BG32_822;BG28_597_G,,
144115198130930503_29190944,BG28_HERO_400,Snake Eyes,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/BG28_HERO_400.png,2025-10-15T22:08:02.6069802+02:00,2025-10-15T22:38:26.5439712+02:00,30.4,5,loss,1452,1452,0,BG27_024_G;BG27_024;BG23_009_G;BG26_505_G;BG26_501;BG32_837;BG23_008,1,BG27_024_G;BG27_024;BG23_009_G;BG26_505_G;BG26_501;BG32_837;BG23_008,,
144115198130930503_29190944,BG24_HERO_100_SKIN_B,Chariot Driver Denathrius,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/BG24_HERO_100_SKIN_B.png,2025-10-15T22:41:22.4631197+02:00,2025-10-15T23:00:44.0802311+02:00,19.4,6,loss,1452,1452,0,BG32_891;BG29_140;BG29_140;BG21_005;BG21_004;BG21_004,1,BG32_891;BG29_140;BG29_140;BG21_005;BG21_004;BG21_004,,
144115198130930503_29190944,BG20_HERO_101,Xyrella,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/BG20_HERO_101.png,2025-10-15T23:10:07.8092336+02:00,2025-10-15T23:39:00.7182284+02:00,28.9,2,top4,1452,1623,171,BG33_828;TB_BaconUps_130;BG32_236_G;BG32_236_G;BG32_236_G;BG33_827;BG32_236_G,1,BG33_828;TB_BaconUps_130;BG32_236_G;BG32_236_G;BG32_236_G;BG33_827;BG32_236_G,,
144115198130930503_29190944,TB_BaconShop_HERO_02_SKIN_C,"Galakrond, Proto-Murloc",https://art.hearthstonejson.com/v1/render/latest/enUS/512x/TB_BaconShop_HERO_02_SKIN_C.png,2025-10-15T23:39:59.5427552+02:00,2025-10-16T00:18:09.0021541+02:00,38.2,1,win,1623,1837,214,BG33_318;BG33_318;BG27_013_G;BG31_144;BG31_144;BG26_354_G;BG26_350_G,1,BG33_318;BG33_318;BG27_013_G;BG31_144;BG31_144;BG26_354_G;BG26_350_G,,
144115198130930503_29190944,TB_BaconShop_HERO_40,Sir Finley Mrrgglton,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/TB_BaconShop_HERO_40.png,2025-10-16T00:19:32.6494470+02:00,2025-10-16T00:50:45.1084831+02:00,31.2,1,win,1837,2052,215,BG27_024;BG23_009_G;BG26_505;BG33_920;BG26_502;BG32_837;BG32_836,1,BG27_024;BG23_009_G;BG26_505;BG33_920;BG26_502;BG32_837;BG32_836,,
144115198130930503_29190944,TB_BaconShop_HERO_74,Forest Warden Omu,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/TB_BaconShop_HERO_74.png,2025-10-16T21:01:05.8417875+02:00,2025-10-16T21:29:13.2516980+02:00,28.1,3,top4,2976,3147,171,BG30_160;BG27_013;BG28_597;BG31_812;BG31_810;BG33_334;BG21_036,1,BG30_160;BG27_013;BG28_597;BG31_812;BG31_810;BG33_334;BG21_036,,
144115198130930503_29190944,TB_BaconShop_HERO_41,Reno Jackson,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/TB_BaconShop_HERO_41.png,2025-10-16T21:50:48.2003163+02:00,2025-10-16T22:25:52.8496959+02:00,35.1,1,win,3147,3447,300,BG25_010_G;BG25_010_G;BG25_005_G;BG32_325;BG31_175;BG33_116;BG33_116_G,1,BG25_010_G;BG25_010_G;BG25_005_G;BG32_325;BG31_175;BG33_116;BG33_116_G,,
144115198130930503_29190944,BG21_HERO_000,Cariel Roame,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/BG21_HERO_000.png,2025-10-16T22:26:39.3720212+02:00,2025-10-16T22:44:52.4700880+02:00,18.2,7,loss,3447,3392,-55,BG21_HERO_000_Buddy_G;TB_Baconups_202;BGS_127;BG31_815_G;BG28_551;BG21_036;BG21_036,1,BG21_HERO_000_Buddy_G;TB_Baconups_202;BGS_127;BG31_815_G;BG28_551;BG21_036;BG21_036,,
144115198130930503_29190944,TB_BaconShop_HERO_33,The Curator,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/TB_BaconShop_HERO_33.png,2025-10-16T22:45:41.0257277+02:00,2025-10-16T23:11:58.2181372+02:00,26.3,3,top4,3392,3563,171,BG21_004;BG29_140;BG33_300;BG33_155_G;BG29_840;BG33_320;BG21_004,1,BG21_004;BG29_140;BG33_300;BG33_155_G;BG29_840;BG33_320;BG21_004,,
144115198130930503_29190944,BG20_HERO_202,Master Nguyen,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/BG20_HERO_202.png,2025-10-16T23:36:18.8750932+02:00,2025-10-17T00:06:49.8809425+02:00,30.5,1,win,3563,3863,300,BG20_104_G;BG33_885_G;BG20_101_G;BG33_883;BG28_583;BG20_303;BG20_303,1,BG20_104_G;BG33_885_G;BG20_101_G;BG33_883;BG28_583;BG20_303;BG20_303,,
144115198130930503_29190944,BG21_HERO_020,Cookie the Cook,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/BG21_HERO_020.png,2025-10-17T16:11:59.8439513+02:00,2025-10-17T16:33:58.2456264+02:00,22.0,5,loss,3818,3801,-17,BG32_820;BG21_015_G;BG33_827;BG28_551;BG21_HERO_020_Buddy_G;BG32_173;BG25_001,1,BG32_820;BG21_015_G;BG33_827;BG28_551;BG21_HERO_020_Buddy_G;BG32_173;BG25_001,,
144115198130930503_29190944,BG20_HERO_242,Guff Runetotem,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/BG20_HERO_242.png,2025-10-17T16:34:56.1041184+02:00,2025-10-17T17:06:37.0312407+02:00,31.7,1,win,3801,4101,300,BG21_004;BG33_311_G;BG33_300;BG29_140;BG33_823;BG26_ICC_901;BG21_004,1,BG21_004;BG33_311_G;BG33_300;BG29_140;BG33_823;BG26_ICC_901;BG21_004,,
144115198130930503_29190944,TB_BaconShop_HERO_49_SKIN_F,DJ Manastorm,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/TB_BaconShop_HERO_49_SKIN_F.png,2025-10-18T13:23:53.2664338+02:00,2025-10-18T14:02:04.9187711+02:00,38.2,1,win,4101,4383,282,BG26_505_G;BG33_300;BG26_505;BG26_505;BG32_836_G;BG26_502_G;BG23_009_G,1,BG26_505_G;BG33_300;BG26_505;BG26_505;BG32_836_G;BG26_502_G;BG23_009_G,,
144115198130930503_29190944,TB_BaconShop_HERO_43_SKIN_G,Liontamer Brann,https://art.hearthstonejson.com/v1/render/latest/enUS/512x/TB_BaconShop_HERO_43_SKIN_G.png,2025-10-18T14:03:01.3254577+02:00,2025-10-18T14:32:11.8781927+02:00,29.2,4,top4,4383,4417,34,BG33_241_G;BG28_597;BG21_015;BG28_597;BG29_813;BG33_245_G;BG21_014_G,1,BG33_241_G;BG28_597;BG21_015;BG28_597;BG29_813;BG33_245_G;BG21_014_G,,
